true,predicted
8,8
14,14
25,6
15,20
6,5
19,19
26,26
8,19
19,19
22,22
13,13
18,18
11,8
26,26
19,19
8,8
19,19
25,25
3,3
15,15
19,19
0,14
19,19
19,19
15,26
17,17
26,26
8,19
14,14
19,19
19,19
25,25
16,16
19,19
22,22
19,19
19,19
19,15
14,14
15,15
26,26
19,19
14,14
24,24
12,6
26,26
19,19
25,15
3,3
3,3
19,19
3,3
26,26
19,19
26,26
14,14
19,19
22,19
19,6
26,26
12,11
19,19
19,20
15,3
26,26
11,11
19,19
19,19
20,20
6,6
19,19
19,19
19,19
20,6
19,19
6,26
19,19
19,19
11,11
19,19
19,19
4,4
19,19
24,24
19,19
1,16
19,19
11,11
20,20
11,11
3,3
19,19
11,11
19,19
19,19
19,19
11,19
13,13
19,19
0,0
14,14
9,9
14,14
19,19
19,19
11,11
15,15
19,19
19,19
16,16
19,19
19,19
14,14
26,26
14,14
9,9
11,11
14,14
26,26
17,17
14,14
20,20
19,19
3,19
19,19
25,25
22,22
6,19
22,3
13,13
6,24
11,19
22,22
19,19
14,14
19,22
19,19
26,26
8,16
22,22
19,19
19,19
19,19
19,5
19,19
19,19
11,11
18,20
6,6
19,19
19,19
8,8
20,20
19,19
14,14
27,27
20,20
20,20
20,20
11,11
20,20
19,19
19,19
3,3
20,20
19,19
6,6
6,6
19,19
11,11
3,3
6,6
19,19
14,14
19,19
6,6
26,26
1,1
3,0
18,18
18,6
19,19
20,20
11,14
20,20
20,20
26,24
19,19
19,19
19,19
5,20
11,11
24,24
11,19
6,18
19,19
5,5
11,11
13,13
19,19
26,26
19,19
26,26
11,19
14,19
20,7
14,14
18,18
14,14
6,6
16,16
19,19
19,19
6,6
24,19
16,16
18,18
27,11
24,3
19,19
19,19
26,26
19,19
19,26
19,19
26,26
19,3
26,26
19,19
19,19
19,6
19,19
6,6
9,9
26,26
3,3
6,6
1,3
20,1
19,19
19,19
19,19
26,26
20,19
26,26
19,19
11,11
14,11
19,19
3,3
5,5
5,5
0,0
21,21
20,20
19,19
14,14
19,19
19,13
18,6
19,15
20,20
23,26
19,19
26,26
8,8
3,25
19,19
19,5
19,19
18,18
19,19
19,19
14,14
6,19
13,19
6,6
19,6
26,26
11,11
14,26
14,14
18,18
11,1
16,16
19,19
19,19
11,11
6,6
26,26
19,19
14,14
13,13
14,14
9,9
22,19
16,16
13,24
14,20
19,19
26,26
19,19
9,19
14,14
6,6
14,14
22,22
4,4
19,19
22,22
19,19
16,16
19,19
20,20
19,19
8,19
15,15
19,19
16,16
26,26
3,14
3,3
11,8
19,19
19,9
18,18
20,20
13,26
26,26
22,22
13,13
12,19
19,19
15,6
25,25
27,27
13,13
26,26
8,16
6,6
4,3
16,16
18,20
11,11
14,14
19,19
14,11
9,9
11,11
26,26
19,19
20,19
14,14
8,8
3,13
19,19
22,19
22,3
20,20
16,6
19,19
19,19
14,14
19,19
19,19
12,12
19,19
24,24
19,19
6,19
11,11
19,19
22,22
26,26
6,24
3,3
19,19
11,11
19,19
20,20
3,19
26,26
18,18
8,8
8,19
26,26
19,19
14,14
19,19
14,14
13,13
1,1
19,19
19,19
11,11
19,26
19,19
25,25
11,11
20,20
18,18
6,6
19,19
14,19
17,17
14,19
14,14
20,6
3,22
12,12
19,19
16,16
3,3
6,20
19,19
24,13
19,19
23,23
11,11
25,25
3,1
20,20
13,13
14,14
19,19
14,14
19,19
19,19
16,6
18,18
3,3
8,8
20,20
15,15
6,26
19,19
6,15
19,19
26,26
19,19
26,26
13,19
19,19
3,0
1,4
20,20
14,14
11,14
5,5
8,8
11,11
20,20
20,20
16,16
12,12
3,3
8,8
6,8
19,19
26,26
12,12
19,19
1,1
11,19
14,14
19,19
19,19
19,19
22,20
19,19
26,26
22,22
26,26
6,6
1,1
24,24
1,1
24,15
15,22
16,16
11,11
3,19
11,11
11,11
19,19
11,11
25,25
24,24
3,6
19,19
22,22
22,3
19,19
8,8
22,22
3,3
19,19
19,19
26,26
25,18
11,11
6,6
25,25
20,20
11,11
20,20
19,19
14,11
22,19
14,11
22,22
1,1
26,26
6,24
8,8
20,20
20,20
22,22
6,6
19,19
22,22
14,14
20,20
5,19
19,19
19,19
19,27
3,12
11,11
15,15
14,14
22,22
19,19
14,11
19,19
6,26
19,19
20,20
19,19
26,26
19,19
6,6
11,11
8,8
22,22
26,26
12,12
5,5
19,8
14,14
19,1
12,3
3,19
20,20
18,18
26,26
14,14
19,19
3,3
26,26
13,5
8,8
24,19
19,19
19,19
3,3
22,22
19,19
13,6
13,13
19,19
19,19
8,8
20,22
14,22
19,19
14,14
5,5
18,18
19,19
19,19
19,19
19,8
14,14
19,19
24,24
19,19
3,3
19,19
19,19
19,19
